sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
3659;SDS011;1846;51.482;7.224;2021-04-26T00:01:55;11.77;;;7.10;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:04:22;13.33;;;6.80;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:06:48;11.50;;;6.17;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:09:14;7.30;;;6.43;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:11:42;9.90;;;6.20;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:14:08;7.60;;;6.63;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:16:34;8.17;;;6.70;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:19:02;10.13;;;7.73;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:21:29;10.00;;;6.90;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:23:56;10.60;;;6.90;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:26:22;8.27;;;7.13;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:28:49;13.27;;;6.20;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:31:16;10.00;;;6.63;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:33:42;10.60;;;7.03;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:36:08;11.07;;;7.17;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:38:35;13.43;;;6.47;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:41:01;12.60;;;7.10;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:43:28;9.93;;;6.60;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:45:55;15.50;;;7.70;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:48:21;16.47;;;8.27;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:50:48;9.30;;;6.83;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:53:14;15.60;;;7.37;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:55:40;8.20;;;6.20;;
3659;SDS011;1846;51.482;7.224;2021-04-26T00:58:09;7.80;;;6.67;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:00:36;14.23;;;6.30;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:03:04;15.50;;;6.90;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:05:31;11.73;;;7.00;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:07:59;8.73;;;6.97;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:10:27;13.43;;;6.70;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:13:03;13.23;;;7.23;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:15:41;6.57;;;5.97;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:18:15;13.90;;;7.00;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:20:55;10.37;;;7.70;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:23:42;10.33;;;6.37;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:26:31;11.50;;;6.50;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:29:11;10.00;;;7.07;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:31:44;10.63;;;7.10;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:34:22;8.10;;;6.30;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:36:52;8.60;;;6.77;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:39:19;7.17;;;6.43;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:41:47;13.67;;;7.07;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:44:15;21.30;;;8.43;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:46:43;8.10;;;6.03;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:49:10;8.33;;;6.30;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:51:39;15.30;;;6.50;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:54:07;9.63;;;6.00;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:56:33;18.87;;;6.57;;
3659;SDS011;1846;51.482;7.224;2021-04-26T01:59:00;12.97;;;6.57;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:01:29;10.13;;;6.47;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:03:57;6.20;;;5.70;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:06:25;6.97;;;6.30;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:08:53;6.80;;;6.20;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:11:20;9.90;;;7.23;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:13:47;17.50;;;7.47;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:16:15;7.40;;;6.70;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:18:41;17.67;;;7.67;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:21:07;10.60;;;6.30;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:23:34;9.20;;;6.43;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:26:02;10.07;;;6.43;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:28:29;9.63;;;6.07;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:30:56;7.70;;;6.20;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:33:24;8.20;;;6.93;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:36:01;6.33;;;5.70;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:38:32;11.63;;;5.83;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:41:03;10.00;;;5.93;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:43:34;15.07;;;7.00;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:46:03;6.33;;;5.83;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:48:30;9.13;;;6.03;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:50:58;8.03;;;5.60;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:53:26;6.90;;;6.20;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:55:57;12.63;;;6.83;;
3659;SDS011;1846;51.482;7.224;2021-04-26T02:58:27;7.67;;;6.33;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:00:54;10.43;;;5.63;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:03:21;8.50;;;5.90;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:05:48;10.50;;;7.07;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:08:15;9.23;;;6.10;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:10:42;5.20;;;4.73;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:13:10;9.80;;;5.00;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:15:37;18.57;;;6.17;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:18:04;6.57;;;5.97;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:20:31;8.00;;;5.70;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:22:58;10.17;;;6.40;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:25:24;8.70;;;6.50;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:27:52;8.87;;;5.50;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:30:20;12.33;;;6.40;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:32:49;6.07;;;5.40;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:35:17;18.33;;;7.63;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:37:44;13.50;;;6.47;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:40:14;9.90;;;6.97;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:42:42;6.63;;;6.00;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:45:08;7.90;;;6.30;;
3659;SDS011;1846;51.482;7.224;2021-04-26T03:47:38;10.63;;;6.70;;
